LGA,Depression Rate,Social (at Risk),Social (vulnerable),Language (at Risk),Language (vulnerable),Communication (at Risk),Communication (Vulnerable),Emotional (at Risk),Emotional (Vulnerable),Health (at Risk),Health (Vulnerable),ecTeachers,ecStudents,psGovTeachers,psCTeachers,psStudents,ssGovTeachers,ssCTeachers,ssStudents,tsRatio,bullying,connectedness,familystress
Northern Grampians,15.1,21.2,6.7,12.5,8.7,2.9,3.8,18.3,7.7,7.7,4.8,5.0,130.0,48.0,16.6,896.0,56.0,16.6,567.0,0.09377990430622,0.209,0.916,0.0879120879120879
Port Phillip,20.9,11.9,5.3,6.1,2.2,6.1,3,9.5,7.3,6.6,4.6,72.0,888.0,240.0,123.4,4922.0,224.0,123.4,3892.0,0.0806444293169956,0.127,0.84,0.1043723554301833
Pyrenees,26.6,6.9,4.2,15.3,8.3,8.3,4.2,8.5,5.6,13.9,12.5,,,,,,,,,,0.18,0.73,0.1176470588235294
Queenscliffe,23.6,*,*,*,*,*,*,*,*,*,*,2.5,57.0,14.0,8.4,262.0,0.0,8.4,0.0,0.1175572519083969,0.132,0.789,
South Gippsland,20.3,13.4,13.6,8.9,7.8,14.2,8.4,17.9,10.9,14.8,10.3,15.0,345.0,145.0,71.0,2568.0,125.0,71.0,2078.0,0.0886784330606973,0.18,0.818,0.1117824773413897
Southern Grampians,17.1,16.2,10.8,10.8,6.6,11.4,7.8,18.6,11.4,9,13.2,15.0,193.0,67.0,62.6,1183.0,47.0,62.6,1414.0,0.0921062764728532,0.151,0.875,0.1180124223602484
Stonnington,24.2,11.5,7.3,6.6,2.7,7.3,5,13.4,9.4,7.9,6,69.0,993.0,182.0,563.5,5621.0,99.0,563.5,7766.0,0.105176663927691,0.123,0.835,0.0929535232383808
Strathbogie,22.9,25,7.1,10.7,7.1,14.3,0,11.9,6,9.5,3.6,5.0,120.0,42.0,20.1,415.0,29.0,20.1,341.0,0.147089947089947,0.164,0.873,0.1153846153846153
Surf Coast,18.5,11.9,5.5,8.6,3.6,11.9,2.9,13.3,5.9,10.2,6.2,27.0,500.0,148.0,30.9,2623.0,68.0,30.9,918.0,0.0784524145721547,0.161,0.833,0.0887290167865707
Swan Hill,17.6,19.8,14,13.8,7.6,20.7,7.1,19.2,9.3,17,9.5,17.0,326.0,89.0,89.0,1995.0,89.0,89.0,1481.0,0.1024165707710011,0.236,0.816,0.1056603773584905
Towong,19.7,22.4,12.1,8.6,6.9,13.8,5.2,24.1,10.3,5.2,12.1,2.5,52.0,30.0,9.2,410.0,56.0,9.2,599.0,0.1034687809712586,0.129,0.914,0.1506849315068493
Wangaratta,20.4,12.3,4.3,8.3,3.7,13.3,2.5,9.3,6.5,10.8,4,22.0,357.0,119.0,154.7,2387.0,53.0,154.7,2406.0,0.1004381389526392,0.113,0.859,0.1279761904761904
Warrnambool,17.8,6.4,6.4,6.7,8.5,14,4.7,6.7,5.3,8.5,6.1,25.0,473.0,105.0,196.0,2798.0,143.0,196.0,2051.0,0.1319859764899979,0.164,0.902,0.0784883720930232
Wellington,27.7,14.6,9.3,11.6,10.8,15.3,7.5,14.2,10.3,13.1,10.4,26.0,530.0,184.0,125.3,3023.0,144.0,125.3,3010.0,0.0959058511519973,0.13,0.852,0.1093117408906882
West Wimmera,21.9,20,10,15,10,0,10,12.5,12.5,12.5,15,2.5,36.0,20.0,6.9,281.0,38.0,6.9,229.0,0.1407843137254902,0.216,0.784,
Whitehorse,16.5,12.7,5.6,4.4,2.7,10.8,4.8,12.9,5.4,8.4,4.6,110.0,1857.0,637.0,316.6,14035.0,476.0,316.6,9429.0,0.0744203886805318,0.105,0.901,0.0987421383647798
Whittlesea,19.1,15.1,7.9,9.7,6.5,14.5,7.7,14.4,6.9,11.8,8.4,132.0,3351.0,839.0,570.4,17155.0,658.0,570.4,10539.0,0.0952480681736116,0.151,0.844,0.071063829787234
Wodonga,23.7,16.9,9,13.8,8,13.8,6,14.2,11.1,10.9,8.2,29.0,730.0,167.0,152.7,4032.0,178.0,152.7,3736.0,0.0837281153450051,0.284,0.713,0.1257861635220125
Wyndham,18.9,14.2,10.3,10.5,7.6,16.5,9.7,15.1,8.1,11.5,8.5,181.0,4537.0,928.0,702.8,26655.0,1040.0,702.8,15876.0,0.0793209658837083,0.195,0.785,0.0795302013422818
Yarra,21.3,10.1,9.9,7.7,5.4,9.9,6.5,10.2,8.9,9.9,9.4,72.0,974.0,305.0,109.5,4497.0,272.0,109.5,3586.0,0.0984782877644439,0.156,0.838,0.0837988826815642
Yarra Ranges,23.3,14.8,8.1,8.9,6.4,13.4,5.6,15.5,8.6,13.4,7.8,99.0,1937.0,679.0,295.8,13365.0,496.0,295.8,10890.0,0.0728344671201814,0.157,0.841,0.1251441753171857
Yarriambiack,26.4,18.2,9.1,18.2,9.1,9.1,14.5,16.4,9.1,12.7,18.2,2.5,81.0,34.0,12.5,424.0,51.0,12.5,245.0,0.1644245142002989,0.279,0.77,0.0843373493975903
